x	y	TVDss	Layer	Prediction	WellName	por
689340.706	5072557.328	1595.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1596.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1597.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1598.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1599.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1600.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1601.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1602.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1603.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1604.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1605.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1606.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1607.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1608.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1609.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1610.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.036
689340.706	5072557.328	1611.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1612.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1613.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1614.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1615.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1616.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1617.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1618.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1619.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1620.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1621.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1622.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1623.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1624.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.017
689340.706	5072557.328	1625.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1626.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
