x	y	TVDss	Layer	Prediction	WellName	temp
689340.706	5072557.328	754.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	51.005
689340.706	5072557.328	755.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	51.045
689340.706	5072557.328	756.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	51.085
689340.706	5072557.328	757.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	51.125
689340.706	5072557.328	758.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	51.165
689340.706	5072557.328	759.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	51.205
689340.706	5072557.328	760.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	51.245
689340.706	5072557.328	761.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.285
689340.706	5072557.328	762.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.325
689340.706	5072557.328	763.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.365
689340.706	5072557.328	764.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.405
689340.706	5072557.328	765.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.445
689340.706	5072557.328	766.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.485
689340.706	5072557.328	767.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.525
689340.706	5072557.328	768.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.565
689340.706	5072557.328	769.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.606
689340.706	5072557.328	770.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.645
689340.706	5072557.328	771.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.686
689340.706	5072557.328	772.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.726
689340.706	5072557.328	773.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.766
689340.706	5072557.328	774.844	6.0	51.478706	REZOVACCKE_KRCCEVINE-1	51.806
689340.706	5072557.328	775.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	51.846
689340.706	5072557.328	776.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	51.886
689340.706	5072557.328	777.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	51.926
689340.706	5072557.328	778.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	51.966
689340.706	5072557.328	779.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.006
689340.706	5072557.328	780.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.046
689340.706	5072557.328	781.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.086
689340.706	5072557.328	782.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.126
689340.706	5072557.328	783.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.166
689340.706	5072557.328	784.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.206
689340.706	5072557.328	785.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.246
689340.706	5072557.328	786.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.286
689340.706	5072557.328	787.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.326
689340.706	5072557.328	788.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.366
689340.706	5072557.328	789.844	6.0	51.837975	REZOVACCKE_KRCCEVINE-1	52.406
689340.706	5072557.328	790.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.447
689340.706	5072557.328	791.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.487
689340.706	5072557.328	792.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.527
689340.706	5072557.328	793.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.567
689340.706	5072557.328	794.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.607
689340.706	5072557.328	795.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.647
689340.706	5072557.328	796.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.687
689340.706	5072557.328	797.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.727
689340.706	5072557.328	798.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.767
689340.706	5072557.328	799.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.807
689340.706	5072557.328	800.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.847
689340.706	5072557.328	801.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.887
689340.706	5072557.328	802.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.927
689340.706	5072557.328	803.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	52.967
689340.706	5072557.328	804.844	6.0	53.180702	REZOVACCKE_KRCCEVINE-1	53.007
689340.706	5072557.328	805.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.047
689340.706	5072557.328	806.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.087
689340.706	5072557.328	807.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.127
689340.706	5072557.328	808.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.167
689340.706	5072557.328	809.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.207
689340.706	5072557.328	810.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.248
689340.706	5072557.328	811.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.288
689340.706	5072557.328	812.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.328
689340.706	5072557.328	813.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.368
689340.706	5072557.328	814.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.408
689340.706	5072557.328	815.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.448
689340.706	5072557.328	816.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.488
689340.706	5072557.328	817.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.528
689340.706	5072557.328	818.844	6.0	53.714455	REZOVACCKE_KRCCEVINE-1	53.568
